Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
2030,227,98.03,55.25,3.54,98.59,25.22,18.94,67.84,39.65,6.61,2.64,1.76,0,0.88,0,0,3.96,11.89,12.33,3.96,1.76,3.52,0,9.69,7.05,0.88,0.88,5.73,2.64,5.73,5.73,0,0,0,0,3.52,0,0,0,0,9.25,1.76,2.2,0.44,1.76,1.76,1.32,0.44,0.44,0,0,0,0,0,0,0,5.73,0.44,3.08,0.44,3.08,0,2.2,4.85,0.88,5.73,0.88,2.64,2.64,1.32,2.64,0,2.64,0,0,0,0,0,0,0,0,16.74,6.17,2.2,0,0,1.32,0,2.64,0.88,0,0.88,2.64
2031,433,90.01,81.61,2.54,88.43,25.47,30.02,68.13,33.03,7.85,3.93,0.92,1.15,0.69,0,1.15,3.93,6.47,10.16,4.39,3,3.46,0.46,10.16,4.16,2.08,0.46,5.08,3.46,4.85,4.16,0.46,0,0,0.23,9.7,0.23,0,0,0,7.85,0.92,0.92,0.92,3.93,1.39,1.15,3,2.77,0.23,0,0,0,0,0,0,10.85,5.77,1.62,3,2.08,0.23,1.39,8.31,0.69,7.16,1.62,3.93,1.39,3.93,9.24,0,1.62,0,0,2.08,0,1.62,0,0.23,0,49.19,4.39,3.46,6.47,0,0,2.08,3.23,0,1.39,1.39,26.79
2032,322,93.97,58.59,1,36.71,16.1,25.47,16.46,6.83,1.24,0.93,0.62,0,0.31,0,0,0.31,1.24,3.11,0.31,0.62,0.93,0,0.93,0.31,0,0.31,0,0.62,0.62,0.62,0,0,0,0,2.48,0.62,0.31,0.62,0,1.55,0,0.31,0,0.93,0.31,0,0.62,0,0.62,0,0,0,0,0,0,1.55,0,0,0.62,0.93,0,0,1.24,0,2.48,0.31,0.93,0.93,1.24,1.86,0,0.62,0,0,0.62,0,0.62,0,0,0,26.4,4.97,2.8,0.93,0,0.62,1.55,1.86,0,5.28,1.86,6.52
2033,170,87.9,68.09,10.67,47.53,34,20.59,80,44.71,7.06,5.29,1.18,0,1.76,0,2.35,1.76,7.65,14.12,7.65,2.94,8.24,0,9.41,5.88,1.76,0.59,4.71,2.94,2.94,1.76,0.59,0,0,0,6.47,0,0.59,0,0,5.88,0,1.18,0.59,2.94,1.76,2.35,10,8.82,0,1.18,0,0,0,0,0,2.94,0.59,0.59,1.18,0,0.59,1.76,9.41,0,10.59,1.18,7.06,2.35,7.65,4.12,0,0,0,0,0,0,0,0,0,0,12.35,3.53,2.35,0,0,0,1.18,0.59,0,0,2.35,2.35
2034,104,56.33,25.03,69.37,99,26,14.42,89.42,54.81,15.38,10.58,8.65,0,0.96,0.96,0,4.81,4.81,18.27,8.65,8.65,7.69,0.96,16.35,4.81,1.92,0,0.96,3.85,6.73,6.73,0,0,0,0,4.81,0.96,0.96,0,0.96,11.54,1.92,0.96,1.92,3.85,0.96,2.88,1.92,1.92,0,0,3.85,0.96,1.92,0,0.96,14.42,2.88,2.88,5.77,3.85,0,0.96,14.42,0,13.46,0.96,9.62,2.88,2.88,1.92,0.96,0,0,0,0,0,0,0,0,0,23.08,4.81,2.88,0,0,0,1.92,0,0,3.85,0,9.62
2035,96,87.83,69.89,48.89,97.42,16,15.62,82.29,57.29,12.5,11.46,5.21,0,3.12,0,3.12,1.04,9.38,17.71,10.42,3.12,5.21,0,17.71,4.17,2.08,0,0,3.12,5.21,5.21,0,0,0,0,8.33,0,0,0,0,2.08,0,1.04,1.04,1.04,0,1.04,0,0,0,0,0,0,0,0,0,7.29,2.08,2.08,4.17,1.04,0,3.12,11.46,2.08,15.62,2.08,8.33,4.17,1.04,4.17,0,2.08,0,0,0,0,0,0,0,0,23.96,5.21,1.04,0,0,0,2.08,0,2.08,0,0,13.54
2036,115,84.85,75.68,5.32,99,14.38,19.13,66.96,40.87,9.57,6.09,3.48,0,1.74,0,0.87,3.48,3.48,14.78,9.57,1.74,3.48,0,14.78,3.48,2.61,0.87,3.48,2.61,6.09,6.09,0,0,0,0,9.57,0,0.87,0,0.87,8.7,0.87,3.48,0.87,1.74,0.87,0.87,4.35,3.48,0,0.87,1.74,0.87,0,0,0,4.35,3.48,0.87,0,0.87,0,2.61,11.3,1.74,6.96,0.87,6.09,0.87,2.61,1.74,0,1.74,0,0,0.87,0,0.87,0,0,0,32.17,2.61,6.09,0.87,0,0,4.35,0.87,0,4.35,0,13.04
2037,100,75.14,65.56,1,80.22,25,21,75,52,11,4,1,0,2,0,1,7,10,12,12,5,5,0,19,1,1,1,2,0,3,3,0,0,0,0,5,0,0,0,0,12,0,4,4,5,1,2,3,2,0,1,3,3,0,0,0,7,0,1,2,5,0,3,15,2,4,0,4,0,2,1,0,2,0,0,0,0,0,0,0,0,17,4,3,0,0,0,0,3,2,2,0,3
2038,305,93.15,57.8,7.74,99,25.42,26.23,73.11,42.95,9.51,5.25,3.61,0.66,0.98,0,0,4.26,8.85,13.77,5.25,3.61,3.61,0.33,11.48,3.93,1.31,1.31,2.3,1.64,6.23,6.23,0,0,0,0,5.25,0,0.66,0,0.33,7.87,0.98,2.3,1.31,2.3,0.66,0.98,1.97,1.97,0,0,0.98,0,0.33,0.33,0,10.82,3.61,5.9,1.97,4.59,0,2.95,8.52,1.64,8.2,1.97,4.92,1.31,2.3,3.61,0,0.66,0,0,0.33,0,0,0,0,0,21.31,4.59,6.23,0.66,0,0,1.64,0.33,0.33,2.3,1.31,3.93
2039,338,92.84,38.35,50.04,75.23,21.12,21.89,76.92,41.12,7.69,5.33,4.73,0,0.59,0,0,2.37,8.88,13.02,4.14,4.14,5.92,0,10.06,7.4,2.37,0,2.37,2.37,4.14,3.25,0.59,0,0,0,3.85,0,0,0.59,0,11.54,2.96,2.37,1.18,2.96,1.78,2.66,3.25,2.66,0.3,0.3,0.89,0.89,0,0,0.3,5.92,0.3,2.66,1.78,2.07,0,2.07,7.69,0.89,11.83,0.3,7.69,3.25,6.8,2.37,0.3,0.89,0,0,0,0,0,0,0,0,30.47,5.62,5.03,0.3,0,0.59,2.07,2.66,0.59,0.3,1.78,11.54
2040,183,75.3,93.68,27.91,99,26.14,25.68,90.16,46.99,13.66,8.74,1.64,2.19,3.28,1.09,0.55,4.92,8.2,11.48,7.65,2.73,6.01,0.55,16.39,8.2,2.19,0.55,0,2.19,8.74,8.74,0,0,0,0,14.21,0,0,0,1.09,12.02,3.83,2.73,0.55,1.64,1.64,2.19,0.55,0,0,0.55,2.73,0.55,0.55,1.09,0,9.29,4.37,2.19,2.19,1.64,0,1.64,11.48,2.19,11.48,2.73,5.46,3.83,4.92,2.73,0,0.55,4.92,0,0,0,0,0,0,0,20.22,5.46,3.83,0,0,0,1.64,0.55,0,2.73,0,6.01
2041,247,87.41,53.24,53.05,83.39,30.88,19.43,85.02,48.58,12.15,7.29,5.67,0,1.62,0,0,4.86,7.69,15.38,6.88,2.02,6.48,0,12.96,5.26,3.24,1.21,1.21,4.45,4.86,4.05,0.81,0,0.4,0.4,6.88,0,0,0,0,10.12,0.81,3.64,0,3.24,1.21,2.02,2.02,1.21,0,0.81,0.4,0.4,0,0,0,10.93,2.43,5.26,2.43,2.02,0,2.02,12.15,2.02,12.96,1.21,9.31,3.24,8.1,2.43,0.4,1.21,0,0,0,0,0,0,0,0,13.36,2.43,4.05,0,0,0.4,2.43,2.43,0,0.4,0,1.21
2042,467,93.63,55.1,29.52,83.05,23.35,22.7,77.73,47.54,7.49,3.64,1.93,0.21,1.07,0,0.43,3.85,10.06,15.2,8.35,3,4.71,0.86,12.85,4.71,2.36,0,3.43,1.71,4.07,3.64,0.43,0.21,0,0.21,5.35,0,1.07,0,0,8.57,1.07,2.36,1.28,2.14,0.43,2.57,3.85,2.78,0,1.07,0.43,0,0.43,0,0,6.64,2.36,1.71,3.43,0,0,1.93,8.78,3.21,13.49,1.71,7.49,3.85,2.78,1.5,0.43,1.07,0.21,0,0.64,0,0.21,0,0.21,0.21,15.42,6.42,4.71,0,0,0,0.21,0.43,1.28,0.64,0.86,0.86
2043,114,29.42,16.73,90.72,99,16.29,13.16,95.61,63.16,16.67,11.4,10.53,0,0.88,0,0,5.26,2.63,15.79,15.79,8.77,4.39,0.88,21.93,7.02,1.75,1.75,0.88,2.63,7.89,7.02,0.88,0,0,0,4.39,0,0,0,0,7.89,0,1.75,0.88,1.75,0,3.51,2.63,0.88,0,1.75,3.51,0,2.63,0,0,9.65,2.63,3.51,2.63,1.75,0,5.26,14.91,0.88,15.79,1.75,6.14,10.53,1.75,0,0.88,2.63,0,0.88,1.75,0,0,0.88,0.88,0,11.4,7.89,0,0,0,0,0,0,0,0,0,3.51
2044,91,98.72,62.91,9.66,67.32,45.5,28.57,78.02,46.15,4.4,2.2,1.1,0,1.1,0,0,2.2,9.89,19.78,6.59,2.2,5.49,0,13.19,2.2,3.3,0,1.1,2.2,2.2,2.2,0,0,0,0,3.3,0,0,1.1,0,5.49,2.2,0,1.1,0,2.2,0,1.1,1.1,0,0,2.2,0,2.2,2.2,0,8.79,1.1,2.2,4.4,3.3,0,2.2,7.69,1.1,10.99,2.2,6.59,2.2,2.2,4.4,0,2.2,0,0,0,0,0,0,0,0,18.68,3.3,7.69,1.1,0,0,0,2.2,0,0,0,4.4
2045,360,80.2,41.22,50.74,95.62,27.69,27.22,82.78,48.89,13.33,9.17,7.5,0,1.39,0,0.28,4.17,5.28,16.94,6.39,4.17,6.67,0.28,13.06,6.39,4.44,0.56,1.11,3.06,5.28,4.72,0,0,0,0,5.28,0,0,0,0,10,0.83,3.33,1.11,3.06,1.94,1.11,0.83,0.83,0,0,0,0,0,0,0,5.83,0.56,2.22,1.94,2.78,0,2.78,9.72,2.5,12.78,3.06,3.61,6.11,4.44,2.78,0,2.5,0,0,0.83,0,0,0,0.83,0,12.22,4.17,3.89,0.28,0,0,0.56,0.28,0,1.39,0,1.67
2046,272,77.49,37.04,24.77,91.49,27.2,28.68,74.63,43.01,10.66,6.99,6.25,0,0,0,0.74,3.68,3.68,13.24,9.93,1.1,4.04,1.1,13.6,4.78,1.47,0.74,2.94,2.57,5.51,4.78,0.74,0,0.37,0,4.78,0.37,0,0,0,6.62,1.1,2.21,0.37,1.47,0.74,0.74,2.57,1.1,1.1,0.37,4.78,1.47,3.31,1.1,0,5.88,1.1,1.84,2.21,1.84,0.74,2.21,8.82,2.21,9.19,0.37,4.78,3.68,2.94,1.1,0.37,3.68,0,0,0,0,0,0,0,0,16.54,5.15,4.78,1.84,0.37,0.74,0,1.1,0,0,1.47,1.1
2047,227,53.19,85.48,12.5,74.92,56.75,16.74,75.33,45.37,11.89,9.69,5.73,0.88,2.2,0.44,0.44,2.2,3.96,10.57,8.81,4.85,8.37,0,13.66,3.08,0,1.32,5.73,1.76,2.64,2.64,0,0,0,0,14.1,3.08,1.32,1.32,0,6.61,0.88,1.32,1.32,2.64,0.44,0.88,0.88,0.44,0,0.44,0.88,0,0.44,0,0,11.01,6.17,0.88,2.2,2.2,0,3.08,8.81,1.32,8.37,0.88,3.52,3.96,1.32,3.96,2.64,0,0,0.44,0.44,0,0,0.44,0,0,77.97,2.2,0.44,0.44,0.44,0,0.44,68.28,0,0.44,3.52,1.76
2048,741,85.97,40.94,84.11,50.99,18.07,22.27,89.61,50.61,13.77,8.91,7.15,0.94,0.27,0,0.54,4.86,7.29,16.73,5.53,3.64,6.07,0.4,11.47,7.29,3.51,0.81,2.43,2.83,5.53,3.37,2.02,0.94,0.54,0.13,5.94,0,0,0.81,0,7.29,2.7,0.54,0.94,1.21,0.94,1.62,2.56,0.94,0.13,1.21,1.89,0.54,1.08,0,0,7.96,1.62,2.56,2.16,2.29,0.13,4.72,5.67,0.81,16.46,1.75,8.1,6.75,10.12,1.48,0,0.13,0.13,0,0.81,0.27,0,0.54,0,0,14.57,5.53,5.13,0.4,0,0,0.27,0.54,0,0.13,0.81,1.75
2049,518,96.66,78.57,11.84,89.97,43.17,32.63,69.5,38.61,6.56,2.9,0,1.35,1.16,0,0.39,3.67,7.72,14.48,5.02,0.77,4.44,0.19,8.69,4.44,0.77,0.39,2.9,2.12,3.86,3.86,0,0,0,0,6.37,0.19,0.19,0,0,6.76,2.12,2.12,0.39,1.16,0.97,0.77,1.16,0.58,0.19,0,0.39,0,0.39,0,0,5.98,3.67,0.97,0.77,0.97,0.19,1.54,5.21,1.74,11.39,0.97,7.14,3.09,4.25,5.79,0.19,0.77,0.39,0,0.39,0,0.39,0,0,0,14.67,3.47,3.28,0.97,0,0,0.19,1.16,0,0.58,1.54,3.47
2050,792,82.9,47.47,26.17,94.05,18,23.11,75.63,44.07,9.34,5.05,3.54,0.38,1.01,0.13,0,4.29,7.32,13.01,7.2,3.28,7.07,0.63,11.36,4.17,1.52,0.63,3.79,3.03,4.67,4.55,0.13,0,0,0,5.05,0,0.38,0.13,0,7.7,0.88,1.26,0.76,1.89,1.64,2.78,1.14,0.63,0.13,0.25,0.51,0.25,0,0,0.13,9.34,2.53,2.78,2.27,3.54,0,2.02,8.59,1.89,10.86,1.89,5.93,3.54,5.81,3.91,0.25,1.52,0.13,0,0.51,0.13,0.25,0.13,0,0,21.21,6.44,3.54,0.88,0,0,1.39,0.76,0.25,1.77,1.77,4.42
2051,83,90.17,45.21,62.38,71.06,27.67,21.69,81.93,49.4,15.66,10.84,9.64,0,1.2,0,0,4.82,8.43,15.66,6.02,1.2,3.61,0,13.25,2.41,1.2,1.2,1.2,0,7.23,4.82,2.41,0,0,0,7.23,0,0,1.2,0,7.23,0,6.02,1.2,1.2,0,0,0,0,0,0,1.2,0,0,0,0,7.23,3.61,4.82,1.2,0,0,2.41,7.23,4.82,14.46,0,8.43,6.02,8.43,2.41,0,3.61,0,1.2,0,0,0,0,0,0,20.48,4.82,8.43,0,0,0,0,4.82,0,0,0,2.41
2052,124,79.68,81.25,2.96,83.22,24.8,20.97,64.52,41.94,8.87,4.84,2.42,0,0.81,0.81,0.81,4.03,3.23,14.52,11.29,2.42,4.03,0,14.52,3.23,2.42,0.81,4.84,1.61,4.84,4.03,0.81,0,0.81,0,10.48,0,0.81,1.61,0.81,6.45,0,3.23,0.81,0.81,1.61,0,2.42,2.42,0,0,2.42,1.61,0,0,0,4.84,2.42,1.61,0.81,1.61,0,2.42,10.48,2.42,8.87,1.61,7.26,1.61,2.42,0,0,1.61,0,0.81,0,0,0,0,0,0,33.87,3.23,2.42,0.81,0,0,4.84,0.81,0,5.65,0,16.13
2053,247,80.42,38.83,75.3,97.58,22.45,17.41,85.43,53.04,14.17,8.91,7.69,0,0.4,0,0.81,5.26,5.67,18.62,8.1,4.45,5.67,0.4,15.38,6.07,0.81,0.81,1.62,3.24,5.67,5.26,0,0,0,0,6.07,0,0,0,0,10.12,3.64,2.43,1.21,2.02,2.43,1.21,0,0,0,0,0.4,0,0,0,0.4,6.48,1.62,3.24,1.62,2.02,0,4.05,10.12,1.21,13.77,2.02,6.88,4.45,2.83,2.83,0.81,0.4,0,0,0.4,0,0,0.4,0,0,8.1,4.45,1.62,0,0.4,0,0,0,0.81,0,0.81,0
2054,435,82.19,58.19,35.99,92.2,31.07,18.85,80.46,48.51,11.26,7.36,4.37,0.92,1.61,0,0.46,3.91,8.51,13.33,8.51,3.68,5.75,0.23,14.48,5.75,2.53,0.92,1.61,2.76,4.14,4.14,0,0,0,0,6.9,0,0.23,0,0,9.89,0.46,2.07,3.68,3.68,0.69,2.76,3.45,2.76,0.69,0,0.69,0,0,0.23,0.23,5.98,3.22,0.92,1.61,0.46,0,2.53,8.51,3.22,14.94,1.61,7.36,6.44,0.69,5.06,0.23,1.61,0,0,0.92,0,0.46,0,0.46,0,19.77,5.75,4.37,0.23,0,0.46,0,2.53,0,1.15,2.76,2.53
2055,494,97.68,58.8,5.76,96.22,14.97,18.42,75.1,44.33,7.89,4.86,2.63,0,1.62,0,0.61,3.04,12.55,13.97,4.05,2.63,4.25,0.2,8.3,4.05,2.63,0.61,7.29,3.85,5.26,5.06,0.2,0,0,0.2,5.06,0,0,0,0,6.07,0.61,1.62,0.4,2.02,1.21,1.62,3.04,1.82,0.81,0.4,1.21,0.61,0.2,0,0,7.49,1.82,2.83,2.63,1.01,0,1.21,4.45,1.82,7.09,0.4,4.25,2.63,4.86,3.85,0,0.2,0,0,0,0,0,0,0,0,16.8,6.68,3.64,0.4,0.81,0,0.2,1.01,0,0,0.81,3.24
2056,512,87.64,92.02,1.11,99,28.44,23.44,49.22,27.34,8.2,6.05,0,4.88,1.17,0,0,2.15,2.54,9.77,3.52,1.76,2.54,0.59,6.64,3.32,0.98,0.78,2.34,1.76,6.25,6.25,0,0,0,0,9.38,0,0,0,0,5.27,0.2,1.37,0.98,1.37,0.78,0.78,0.59,0.2,0.39,0,0.78,0.2,0,0,0.39,12.89,7.23,2.93,2.73,1.76,0.2,0.39,6.05,1.17,7.23,0.39,3.71,2.73,3.91,2.54,0,0.59,0,0,0.59,0,0.2,0,0.39,0,16.6,3.12,4.69,0,0,0.2,0.78,0.2,0.39,1.56,1.17,4.49
2057,279,73.21,54.29,46.2,95.33,25.36,18.28,85.3,53.41,12.19,7.53,3.94,0.72,2.51,0,0.36,4.66,6.09,15.77,8.96,6.09,5.02,1.43,15.05,3.58,1.79,0.72,2.87,3.94,6.09,5.38,0.72,0.36,0,0.36,6.09,0,0.36,0,0,10.75,1.08,1.79,1.43,1.79,2.87,2.87,4.3,3.58,0.36,0.36,1.08,0.36,0.36,0,0,6.81,1.43,3.23,0.36,2.87,0,3.23,11.47,1.08,13.98,1.43,5.38,7.89,3.94,3.94,0,0,0,0,0,0,0,0,0,0,10.39,2.87,2.51,0,0,0.36,1.79,0,1.08,0.36,0,1.43
2058,1066,90.93,92.95,14.43,86.12,28.05,22.8,78.99,47.37,12.29,6.94,0.09,4.03,2.44,0,0.38,5.35,8.54,15.1,5.35,2.25,5.44,0.09,10.98,3.47,1.31,1.31,2.81,4.32,3.66,3.56,0.09,0.09,0,0,10.23,0,0.09,0,0,9.01,2.06,2.16,1.22,1.41,1.5,1.78,1.78,0.94,0.09,0.56,0.56,0.19,0.28,0,0,12.38,6.19,2.81,2.25,2.16,0,2.16,7.88,1.03,11.91,1.5,7.22,3.38,4.13,2.81,0.09,0.47,0,0.09,0.19,0,0.19,0,0,0,18.11,4.13,6.1,0.28,0,0,0.84,0.75,0,0,0.38,5.63
2059,267,88.93,64.61,24.47,68.2,44.5,17.98,83.15,52.81,9.36,4.87,1.87,1.5,0,0.37,1.12,4.49,10.49,16.48,8.61,5.24,6.74,0.37,16.85,6.74,4.49,0.37,0.75,1.87,3,2.62,0.37,0,0,0.37,4.87,0,0,0.37,0,8.61,1.5,3.37,0.37,0.75,2.25,0.37,1.87,1.5,0,0,0.37,0,0,0,0,6.37,3.37,0.75,2.25,1.12,0,3.75,8.61,1.87,13.86,0.75,6.74,6.37,5.99,2.25,0,0.37,0.37,0,0.75,0,0,0,0.75,0,8.99,3.37,2.25,0,0,0,1.87,0.37,0,0,0,1.12
2060,170,83.15,45.32,62.69,98.87,42.5,18.24,84.71,50,12.94,9.41,6.47,0,2.35,0,0.59,3.53,5.88,17.06,4.71,2.94,9.41,0,11.76,5.29,2.35,0.59,2.94,2.35,5.88,5.88,0,0,0,0,5.29,0,0.59,0,0,9.41,1.18,1.76,1.76,3.53,1.76,2.35,1.76,0.59,0,1.18,3.53,3.53,0,0,0,11.18,1.18,5.29,4.12,2.94,0,2.94,9.41,1.18,14.71,1.18,5.88,7.65,5.29,1.76,0,1.76,0.59,0,0,0,0,0,0,0,13.53,1.76,2.35,0,0,0,2.94,1.18,0,2.35,0,2.94
2061,100,75.14,65.56,1,80.22,25,20,75,52,11,4,1,0,2,0,1,7,10,12,12,5,5,0,19,1,1,1,2,0,3,3,0,0,0,0,5,0,0,0,0,12,0,4,4,5,1,2,3,2,0,1,3,3,0,0,0,7,0,1,2,5,0,3,15,2,4,0,4,0,2,1,0,2,0,0,0,0,0,0,0,0,16,4,3,0,0,0,0,3,2,2,0,2
2062,1418,52.76,99,28.32,98.56,22.51,18.34,82.72,50.14,19.32,17.77,4.87,0.07,12.48,0,0.35,1.55,6.7,11.71,8.53,2.82,6.63,0.63,13.96,6.56,3.03,0.78,1.76,2.33,6.42,6.06,0.35,0.14,0,0.07,21.23,0.63,0.78,0,0,13.05,2.61,1.55,1.76,5.15,1.62,4.65,4.37,3.03,0.14,0.92,4.8,3.03,0.28,0,0.28,9.52,4.58,1.34,1.9,3.81,0,1.2,10.58,3.46,7.19,2.12,4.09,1.06,0.63,1.41,1.2,0.28,0.07,0.07,0.56,0,0.42,0,0.14,0,23.62,4.94,6.14,1.06,0,1.27,1.06,0.78,0.28,5.15,1.13,1.83
2063,107,57.77,64.59,19.72,61.21,17.83,20.56,72.9,46.73,14.02,7.48,0.93,0.93,3.74,0,1.87,6.54,3.74,12.15,9.35,1.87,6.54,1.87,16.82,6.54,3.74,0.93,3.74,0,3.74,2.8,0.93,0,0,0.93,8.41,0,0,0,0,14.02,1.87,1.87,3.74,2.8,0,6.54,1.87,1.87,0,0,0.93,0,0,0,0.93,3.74,1.87,0,1.87,0,0,3.74,10.28,2.8,10.28,0.93,5.61,2.8,1.87,4.67,0,0,0,0,2.8,0,2.8,0,0,0,23.36,10.28,4.67,0,0,0,0.93,0.93,3.74,0.93,0,1.87
2064,2275,86.23,71.47,4.29,93.63,21.26,18.55,76.09,48,11.16,5.1,1.8,0.35,2.64,0,0.31,6.07,8.4,13.67,8.79,3.08,3.78,0.48,12.75,5.54,1.58,0.53,4.48,4.75,4.7,4.53,0.18,0.04,0,0.04,5.89,0.04,0.09,0.09,0.04,7.47,1.1,1.63,1.71,1.32,1.67,0.92,1.36,0.62,0.09,0.62,0.44,0.18,0,0.04,0.13,7.34,1.01,3.34,2.29,2.81,0.09,1.93,9.23,3.12,8.57,1.71,4.04,3.34,2.55,1.98,0,0.44,0.04,0.09,0.04,0,0,0,0.04,0,14.73,4.88,1.85,0.53,0,1.05,0.79,0.75,0.88,0.18,0.09,3.74
2065,326,90.12,74.04,13.63,81.16,40.75,23.93,70.25,42.94,7.67,5.21,1.23,2.76,0.92,0.31,0,2.45,7.36,13.5,8.28,2.15,5.21,0,11.04,4.6,1.23,1.53,3.37,3.37,3.68,3.37,0.31,0,0,0,5.52,0,0,0,0.31,6.44,0.31,2.15,0.61,1.23,1.23,1.53,0.31,0.31,0,0,1.23,0,0.92,0,0,9.82,3.68,2.15,4.29,1.23,0.31,1.53,7.06,1.53,12.27,2.76,6.13,3.99,1.53,4.91,0,0.61,0,0,0,0,0,0,0,0,14.42,4.91,2.15,0,0,0,0,1.23,0,2.15,0.61,3.37
2066,330,91.91,36.95,25.07,92.93,25.38,27.58,80,48.18,11.52,7.58,6.97,0.3,0.3,0,0,3.94,8.48,16.36,5.76,2.73,5.76,0,11.82,3.94,2.12,0.3,0.61,1.52,5.45,4.85,0.61,0.3,0,0,3.33,0,0.3,0,0,7.27,1.52,2.12,1.52,1.82,0.61,0.3,2.12,1.82,0,0.3,0.91,0,0.3,0.3,0,7.27,2.42,2.12,2.42,1.82,0.3,0.91,7.27,1.21,9.7,1.82,5.45,2.42,5.76,1.21,0,2.42,0.3,0,0,0,0,0,0,0,19.7,5.76,4.55,0,0,0,0.61,0.91,0,0.3,0.61,6.97
2067,343,97.12,77.58,10.31,30.71,26.38,25.95,64.43,37.03,4.37,3.79,0.29,0.58,2.33,0,0.58,0.58,6.71,15.74,3.21,2.62,6.12,0,6.71,4.08,1.75,0.87,2.04,2.33,4.37,2.33,2.04,0.29,0.58,0.29,7.58,0,0,0,0,7,1.75,1.17,0,1.75,1.17,2.62,2.04,1.75,0,0.29,2.62,0.58,0.87,0,0.58,7.29,2.62,1.46,2.33,0.87,0.29,0.87,3.79,1.75,8.75,0.58,6.71,1.46,2.04,2.33,0,0.29,0,0.58,0,0,0,0,0,0,31.49,5.83,8.16,0.58,0,0,2.33,1.75,2.33,0.58,2.92,7
2068,265,80.06,60.43,72.17,98.46,26.5,20.38,90.19,49.06,15.85,12.08,8.3,3.02,0.75,0,0,3.77,6.04,16.23,6.79,1.13,7.17,0,18.49,7.55,4.53,0,0.38,2.64,6.42,6.04,0.38,0,0,0.38,7.55,0.38,0,0.38,0,5.28,0.75,1.89,0.75,1.89,0,0.38,1.51,1.13,0,0,2.26,0,1.89,0,0.38,10.57,5.28,3.4,1.13,1.51,0.75,4.15,10.94,1.51,15.85,5.28,5.66,5.28,4.15,7.55,0,1.51,0,0,0.75,0,0.38,0,0.38,0,16.23,5.28,3.77,0.38,0.38,0,0,0.38,0,1.13,0,4.91
2069,1778,90.71,61.73,25.46,95.63,33.55,22.83,78.4,47.41,10.57,6.3,3.6,0.22,2.19,0,0.28,4.27,7.54,16.2,7.48,2.02,5.23,0.39,12.04,4.84,1.69,1.01,2.76,2.31,6.24,5.46,0.73,0.11,0.11,0.11,6.07,0.11,0.06,0,0.06,8.61,1.29,2.19,1.07,1.8,1.41,1.52,2.31,1.12,0.11,1.07,1.41,0.67,0.28,0,0.17,7.76,1.18,2.76,2.53,1.57,0.39,1.86,7.71,2.25,11.7,1.86,7.2,2.87,2.53,0.9,0.28,1.24,0.06,0,0.39,0,0.11,0.28,0,0,15.02,5.12,3.15,0.06,0.17,0.06,0.11,1.63,0,1.01,0.11,3.6
2070,224,97.72,41.18,8.98,67.93,17.23,19.64,61.16,33.48,4.46,3.57,3.12,0.45,0,0,0,0.89,6.7,15.18,2.23,2.23,5.36,0,4.02,4.46,1.34,0,6.7,1.34,3.12,2.68,0.45,0,0.45,0,1.34,0.45,0,0,0,1.79,0,0,0,0.89,0,0.89,6.25,2.68,0,3.57,2.23,0.89,0.45,0.89,0,4.91,1.34,2.23,1.34,0,0,0.45,3.12,1.34,8.93,0,8.48,1.34,4.91,4.91,0.89,1.79,0,0.45,0.45,0,0,0,0.45,0,37.95,8.04,2.23,0.45,0,0,0,8.04,5.36,1.79,3.57,8.48
2071,731,81.26,86.31,27.29,93.79,20.89,18.33,85.91,50.75,12.04,9.58,3.28,0.14,4.24,0,1.92,2.46,8.62,14.23,9.03,2.46,6.43,0.96,16.14,3.69,1.23,0.82,1.64,1.23,6.16,5.2,0.82,0,0.14,0.55,12.59,0.14,0.27,0.14,0,9.99,3.28,1.23,1.09,1.64,1.5,1.78,2.05,0.27,0.96,0.82,1.5,0.82,0.27,0,0,10.94,2.87,2.19,3.97,2.05,1.37,1.92,12.86,1.78,10.12,1.23,5.34,3.69,3.97,3.42,0,0.55,1.92,0,0.27,0,0.14,0.14,0,0,22.3,5.2,2.05,0.41,0.41,0.41,1.5,1.92,0.27,2.19,1.5,6.43
